ItemNumber,ShippingReportWeight
A4729,1.141691995
A4689,2.456
A2238,1.401600423
A2289,0.937575429
A5681,2.439873358
A1105,1.139877626
A1068,0.791
A5868,0.765663921
A6023,0.7445
A1773,0.620967955
A2088,0.88994823
A7676,0.484
E1288,0.456
A5030,0.526620742
A5056,0.447695669
A4428,0.1
E3209,0.509
E1291,1.304985248
A4945,0.4728
A4564,0.348
E3788,1.679652546
A5801,0.760674404
A4835,0.053977492
A7324,0.587
A10514,0.1347
E4938,0.3
A2257,0.247
167851,0.024
169121,0.001
A5658,0.315246697
A4583,0.345
A10841,0.149
A10418,0.6506
A3996,0.040823313
169058,1.133
A5452,0.152860629
A10837,0.456
A2224,0.647729904
A10834,0.283
A5570,0.168736362
A4272,1.2638
A7412,0.414
A5242,0.210920452
A10189,0.137
E5783,1.457
13083,0.005
170172,0.041
16307,0.086
A7330,1.574872709
A2475,1.43153752
10059,0.017
10877,0.319
E3725,0.405
A4795,0.215909968
A1078,1.011057393
A5301,0.463
E1585,0.3084
E2639,0.119
E3354,0.102
E5325,0.155
A1041,0.650905051
A5624,0.625503878
A4473,0.200034235
A7322,0.414
A5760,0.5753
A3683,0.459942663
18908,0.034
16234,1.174
20905,0.103
11839,0.064
16705,0.078
12522,0.075
170802,0.136
16468,0.194
12013,0.216
10613,0.154
A4293,0.3053
12413,0.081
10343,0.117
A4347,1.39
A2166,0.569712017
A5648,0.405
A5925,0.6055
14764,0.027
170714,0.082
10635,0.01
19816,0.009
E5374,0.445
E5375,0.622
A3412,0.46
21325,1.111
A3639,0.22
A6065,0.3541
A4776,0.399
A8579,0.544
A2573,0.03
A5967,0.2693
A5780,0.567
167848,0.109
A4017,0.0476
167796,0.188
18380,0.476
20891,0.201
A5629,0.4949
A4663,0.324
171282,0.024
A3264,0.201
A4966,0.195951904
20175,0.002
10654,0.05
A4078,0.13199538
E3527,0.371
20413,0.0154
169152,0.239
20590,0.00481
18637,0.022
18232,0.013
16494,0.013
A10436,3.3735
E5638,0.458
A3535,0.98
A5278,0.419
A1959,0.524
A3158,1.049612744
A1941,2.34
A3203,0.19
A4379,0.1277
A7115,0.6277
17584,0.149
15855,0.204
